Src IP,Dest IP,Protocol,Count,Unsecured
10.40.34.253,169.253.0.1,ICMP,4,FALSE
10.40.34.253,169.253.0.1,ARP,2,FALSE
10.40.34.238,169.253.0.1,SSL,2,TRUE
10.40.32.84,169.253.0.1,SSL,2,TRUE
10.230.142.110,169.253.0.1,TCP,1,FALSE
10.49.199.253,169.253.0.1,ARP,1,FALSE
10.66.28.3,169.253.0.1,ICMP,1,FALSE
10.66.28.3,169.253.0.1,ICMP,1,FALSE
10.40.32.84,169.253.0.1,ARP,1,FALSE
10.40.34.238,169.253.0.1,ARP,1,FALSE
10.40.34.195,169.253.114.115,SMB,21,TRUE
10.40.32.53,169.253.114.115,SSL,4,TRUE
10.49.199.253,169.253.114.115,ARP,2,FALSE
10.40.215.91,169.253.114.115,ICMP,2,FALSE
10.40.34.240,169.253.114.115,ARP,2,FALSE
10.40.34.166,169.253.114.115,ARP,2,FALSE
10.40.34.69,169.253.114.115,ARP,2,FALSE
10.40.34.40,169.253.114.115,ARP,2,FALSE
10.40.32.53,169.253.114.115,ARP,2,FALSE
10.40.32.2,169.253.114.115,ARP,2,FALSE
10.40.32.1,169.253.114.115,ARP,2,FALSE
10.40.34.195,169.253.114.115,ARP,2,FALSE
10.40.34.253,169.253.114.115,ARP,1,FALSE
10.40.32.162,169.253.114.115,ARP,1,FALSE
10.40.32.114,169.253.114.115,ARP,1,FALSE
10.29.12.59,169.253.114.115,SSL,1,TRUE
10.40.32.2,169.253.114.115,NTP,1,FALSE
10.40.34.195,169.253.114.115,ICMP,1,FALSE
10.40.32.208,169.253.114.115,ARP,1,FALSE
10.40.215.91,169.253.114.115,ARP,1,FALSE
10.40.32.153,169.253.114.115,ARP,1,FALSE
10.40.32.124,169.253.125.212,SMB,13,TRUE
10.253.253.231,169.253.125.212,SMB,12,TRUE
10.40.32.121,169.253.125.212,SMB,8,TRUE
10.40.32.105,169.253.125.212,SMB,8,TRUE
10.40.32.231,169.253.125.212,SMB,8,TRUE
10.49.199.162,169.253.125.212,SMB,8,TRUE
10.40.32.232,169.253.125.212,SMB,8,TRUE
10.40.32.136,169.253.125.212,ARP,4,FALSE
10.40.32.113,169.253.125.212,ARP,4,FALSE
10.40.34.243,169.253.125.212,ARP,4,FALSE
10.40.34.194,169.253.125.212,ARP,2,FALSE
10.40.34.138,169.253.125.212,ARP,2,FALSE
10.40.32.102,169.253.125.212,ARP,2,FALSE
10.40.32.165,169.253.125.212,ARP,2,FALSE
10.40.34.136,169.253.125.212,HTTP,2,TRUE
10.40.34.136,169.253.125.212,ARP,2,FALSE
10.40.34.191,169.253.125.212,HTTP,2,TRUE
10.40.32.144,169.253.125.212,HTTP,2,TRUE
10.40.32.144,169.253.125.212,ARP,2,FALSE
10.40.32.136,169.253.125.212,ARP,2,FALSE
10.40.32.112,169.253.125.212,ARP,2,FALSE
10.40.34.191,169.253.125.212,ARP,2,FALSE
10.40.34.240,169.253.125.212,ARP,2,FALSE
10.40.32.208,169.253.125.212,HTTP,2,TRUE
10.40.32.208,169.253.125.212,ARP,2,FALSE
10.40.34.69,169.253.125.212,ARP,2,FALSE
10.40.32.125,169.253.125.212,ARP,2,FALSE
10.40.32.194,169.253.125.212,ARP,2,FALSE
10.40.34.166,169.253.125.212,ARP,2,FALSE
10.49.199.253,169.253.125.212,ARP,2,FALSE
10.40.32.2,169.253.125.212,ARP,2,FALSE
10.40.34.195,169.253.125.212,ARP,2,FALSE
